GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order-service,com.smartcart.orderservice.controller,CouponController,18,0,0,0,3,0,3,0,3,0
order-service,com.smartcart.orderservice.controller,OrderController,12,68,0,0,2,11,2,8,2,8
order-service,com.smartcart.orderservice.dto,NotificationEvent,195,15,38,0,6,1,32,1,13,1
order-service,com.smartcart.orderservice.exception,ErrorResponse,237,0,40,0,8,0,36,0,16,0
order-service,com.smartcart.orderservice.exception,GlobalExceptionHandler,48,7,0,0,16,2,2,2,2,2
order-service,com.smartcart.orderservice.config,KafkaConfig,11,0,0,0,5,0,2,0,2,0
order-service,com.smartcart.orderservice.entity,Order,480,87,102,0,1,15,67,16,16,16
order-service,com.smartcart.orderservice.entity,OrderItem.OrderItemBuilder,19,44,0,0,0,1,2,7,2,7
order-service,com.smartcart.orderservice.entity,Coupon.CouponBuilder,55,0,0,0,1,0,8,0,8,0
order-service,com.smartcart.orderservice.entity,VendorPayout,276,25,54,0,8,2,44,2,17,2
order-service,com.smartcart.orderservice.entity,Coupon,245,0,42,0,9,0,38,0,17,0
order-service,com.smartcart.orderservice.entity,Order.OrderBuilder,43,86,0,2,0,1,4,12,4,11
order-service,com.smartcart.orderservice.entity,OrderItem,266,34,54,0,5,5,41,5,14,5
order-service,com.smartcart.orderservice.entity,VendorPayout.VendorPayoutBuilder,20,44,0,0,0,1,2,7,2,7
order-service,com.smartcart.orderservice.client,CartClient.CartItemDto,164,31,38,0,0,5,23,9,4,9
order-service,com.smartcart.orderservice.client,ProductClient.ProductDto,181,14,38,0,3,2,28,4,9,4
order-service,com.smartcart.orderservice.client,CartClient.CartDto,179,17,38,0,2,3,27,5,8,5
order-service,com.smartcart.orderservice.client,UserClient.UserDto,3,14,0,0,1,4,1,4,1,4
order-service,com.smartcart.orderservice.aop,LoggingAspect,87,0,0,0,13,0,3,0,3,0
order-service,com.smartcart.orderservice,OrderServiceApplication,5,3,0,0,2,1,1,1,1,1
order-service,com.smartcart.orderservice.service,OrderService,126,273,20,10,21,61,23,9,9,8
